City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,constantia,44.1833,28.65,4.38,80,100,6.74,RO,1731370193
230,antofagasta,-23.65,-70.4,17.6,85,29,2.09,CL,1731370194
231,vadso,70.0744,29.7487,2.09,80,75,3.6,NO,1731370195
232,decorah,43.3033,-91.7857,5.51,65,0,2.57,US,1731370197
233,isangel,-19.55,169.2667,29.06,70,75,3.09,VU,1731370198
234,sitka,57.0531,-135.33,7.94,76,75,0.0,US,1731369947
235,orneta,54.1148,20.1333,-1.65,82,0,1.29,PL,1731370201
236,isafjordur,66.0755,-23.124,9.15,89,100,10.47,IS,1731370202
237,inarajan village,13.2736,144.7484,30.44,85,95,3.85,GU,1731370203
238,ath thawrah,35.8469,38.5443,17.06,46,33,2.96,SY,1731370204
239,laojunmiao,39.8333,97.7333,1.78,55,58,1.36,CN,1731370205
240,nuku'alofa,-21.1333,-175.2,23.15,80,98,10.29,TO,1731370207
241,hobyo,5.3505,48.5268,26.45,83,100,4.72,SO,1731370208
242,lerwick,60.1545,-1.1494,9.89,84,100,4.68,GB,1731370209
243,hami,42.8,93.45,4.61,59,65,0.3,CN,1731370210
244,puerto ayora,-0.7393,-90.3518,21.97,86,50,2.68,EC,1731370052
245,cockburn town,21.4612,-71.1419,27.71,84,94,10.32,TC,1731370212
246,katsuura,35.1333,140.3,18.47,71,44,1.3,JP,1731370213
247,bonthe,7.5264,-12.505,26.53,81,9,1.3,SL,1731370214
248,suva,-18.1416,178.4415,26.82,75,88,4.92,FJ,1731370216
249,cururupu,-1.8283,-44.8683,23.71,86,100,1.35,BR,1731370217
250,minas de marcona,-15.2119,-75.1103,14.89,77,74,4.98,PE,1731370218
251,tocopilla,-22.092,-70.1979,19.31,72,24,2.64,CL,1731370219
252,bengkulu,-3.8004,102.2655,24.74,86,100,1.2,ID,1731370220
253,brookings,44.3114,-96.7984,3.99,73,0,2.57,US,1731370221
254,alpine,32.835,-116.7664,17.43,62,0,4.63,US,1731370222
255,los andes,-32.8337,-70.5983,19.98,25,0,1.86,CL,1731370223
256,abu jibeha,11.4562,31.2285,26.83,35,55,3.86,SD,1731370224
257,chinde,26.8212,87.7095,18.1,74,0,1.99,NP,1731370227
258,mkushi,-13.6202,29.3939,17.07,91,87,1.5,ZM,1731370228
259,selfoss,63.9331,-20.9971,10.58,98,100,9.22,IS,1731370195
260,kalaoa,19.7286,-155.9817,26.33,74,0,4.63,US,1731370232
261,talara,-4.5772,-81.2719,21.42,73,75,6.69,PE,1731370235
262,ilulissat,69.2167,-51.1,-3.99,74,100,4.96,GL,1731370236
263,alofi,-19.0595,-169.9187,21.94,94,75,7.2,NU,1731370237
264,at-bashi,41.1702,75.8106,-2.96,60,84,0.9,KG,1731370239
265,labrador city,52.9463,-66.9114,-3.23,81,100,26.82,CA,1731370122
266,talnakh,69.4865,88.3972,-28.11,91,49,0.86,RU,1731370241
267,blackwater,-23.5833,148.8833,28.16,100,92,4.76,AU,1731370242
268,itoman,26.1247,127.6694,26.16,89,75,7.2,JP,1731370243
269,yinchuan,38.4681,106.2731,8.41,40,99,3.01,CN,1731370245
